,MMIN,MMAX,CACH,PRP
0,256,6000,256,198
1,8000,32000,32,269
2,8000,32000,32,220
3,8000,32000,32,172
4,8000,16000,32,132
5,8000,32000,64,318
6,16000,32000,64,367
7,16000,32000,64,489
8,16000,64000,64,636
9,32000,64000,128,1144
10,1000,3000,0,38
11,512,3500,4,40
12,2000,8000,65,92
13,4000,16000,65,138
14,64,64,0,10
15,512,16000,0,35
16,524,2000,8,19
17,512,5000,0,28
18,1000,2000,0,31
19,5000,5000,142,120
20,1500,6300,0,30
21,3100,6200,0,33
22,2300,6200,0,61
23,3100,6200,0,76
24,128,6000,0,23
25,512,2000,4,69
26,256,6000,0,33
27,256,3000,4,27
28,512,5000,4,77
29,256,5000,4,27
30,1310,2620,131,274
31,1310,2620,131,368
32,2620,10480,30,32
33,2620,10480,30,63
34,5240,20970,30,106
35,5240,20970,30,208
36,500,2000,8,20
37,1000,4000,8,29
38,2000,8000,8,71
39,1000,4000,8,26
40,1000,8000,8,36
41,2000,16000,8,40
42,2000,16000,8,52
43,2000,16000,8,60
44,1000,12000,9,72
45,1000,8000,9,72
46,512,512,8,18
47,1000,5000,0,20
48,512,8000,4,40
49,512,8000,8,62
50,384,8000,0,24
51,256,2000,0,24
52,1000,16000,16,138
53,1000,8000,0,36
54,1000,4000,16,26
55,1000,12000,16,60
56,1000,8000,16,71
57,256,8000,0,12
58,256,8000,0,14
59,256,8000,0,20
60,256,8000,0,16
61,256,8000,0,22
62,512,1000,0,36
63,2000,8000,64,144
64,2000,16000,64,144
65,2000,16000,128,259
66,256,1000,0,17
67,256,2000,0,26
68,1000,4000,0,32
69,2000,4000,8,32
70,2000,8000,8,62
71,3000,8000,8,64
72,256,2000,0,22
73,768,3000,0,36
74,768,3000,6,44
75,768,12000,6,50
76,768,4500,0,45
77,384,12000,6,53
78,192,768,6,36
79,768,12000,6,84
80,1000,3000,0,16
81,1000,4000,8,38
82,1000,16000,8,38
83,1000,2000,0,16
84,1000,4000,0,22
85,2000,4000,0,29
86,2000,4000,0,40
87,2000,4000,8,35
88,2000,32000,32,134
89,2000,8000,32,66
90,2000,32000,32,141
91,2000,32000,32,189
92,2000,4000,8,22
93,4000,16000,1,132
94,4000,24000,64,237
95,16000,32000,64,465
96,16000,32000,64,465
97,8000,32000,0,277
98,8000,16000,0,185
99,96,512,0,6
100,1000,2000,0,24
101,512,6000,16,45
102,512,1500,0,7
103,768,2000,0,13
104,768,2000,0,16
105,2000,4000,0,32
106,4000,8000,0,32
107,1000,1000,0,11
108,512,1000,0,11
109,1000,4000,4,18
110,1000,4000,8,22
111,2000,4000,0,37
112,2000,4000,8,40
113,2000,4000,8,34
114,2000,8000,8,50
115,2000,16000,16,76
116,2000,16000,16,66
117,1000,4000,2,24
118,2000,12000,8,49
119,2000,12000,16,66
120,4000,16000,8,100
121,4000,16000,32,133
122,768,1000,0,12
123,768,2000,0,18
124,768,2000,0,20
125,2000,4000,0,27
126,2000,8000,8,45
127,2000,8000,8,56
128,2000,16000,24,70
129,2000,16000,24,80
130,8000,16000,48,136
131,1000,8000,0,16
132,1000,8000,24,26
133,1000,8000,24,32
134,2000,16000,12,45
135,2000,16000,24,54
136,2000,16000,24,65
137,512,4000,0,30
138,2000,8000,16,50
139,2000,4000,2,40
140,2000,8000,32,62
141,2000,8000,32,60
142,2000,8000,4,50
143,4000,16000,16,66
144,4000,16000,32,86
145,2000,16000,64,74
146,4000,16000,64,93
147,4000,16000,64,111
148,4000,16000,64,143
149,2000,8000,16,105
150,8000,16000,32,214
151,8000,32000,64,277
152,8000,32000,64,370
153,16000,32000,128,510
154,4000,24000,32,214
155,8000,32000,64,326
156,16000,32000,256,510
157,1000,1000,0,8
158,1000,2000,0,12
159,1000,4000,0,17
160,2000,6000,0,21
161,2000,8000,0,24
162,4000,8000,0,34
163,4000,12000,0,42
164,4000,16000,0,46
165,4000,8000,32,51
166,4000,8000,32,116
167,8000,16000,64,100
168,8000,24000,160,140
169,4000,16000,128,212
170,1000,2000,0,25
171,1000,4000,0,30
172,2000,8000,64,41
173,512,4000,0,25
174,512,4000,0,50
175,1000,16000,1,50
176,512,4000,2,30
177,512,2000,2,32
178,1000,4000,8,38
179,1000,8000,16,60
180,2000,8000,32,109
181,512,1000,8,6
182,512,2000,8,11
183,2000,4000,8,22
184,2000,6000,16,33
185,2000,8000,16,58
186,4000,16000,32,130
187,4000,12000,8,75
188,4000,12000,32,113
189,8000,16000,64,188
190,8000,24000,32,173
191,8000,32000,64,248
192,8000,32000,128,405
193,2000,8000,32,70
194,2000,32000,24,114
195,2000,32000,48,208
196,2000,32000,112,307
197,4000,32000,112,397
198,8000,64000,96,915
199,8000,64000,128,1150
200,262,4000,0,12
201,512,4000,0,14
202,262,4000,0,18
203,512,4000,0,21
204,1000,8000,0,42
205,1000,8000,32,46
206,2000,8000,0,52
207,512,8000,32,67
208,1000,4000,0,45
